,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
82,10.0,1000.0,1.0,-0.4,0.4,0.3993394903134701,0.02065078652428891,-0.2989401621923594,0.40103629901932,-0.11894101015912525,0.16037859158275033,0.35968349039388536,0.21964856770158656
83,10.0,1000.0,1.0,-0.4,0.4,0.3988196737857117,0.020224162960292093,-0.1963658454231919,0.4003030070299356,-0.0782579246232159,0.16014290758573488,0.31716685467835143,0.2137497904713505
84,10.0,1000.0,1.0,-0.4,0.4,0.40022069808722194,0.02046288415082188,-0.1060035566472817,0.4109464954334657,-0.04232924500230543,0.16413211346088719,0.3053430522809294,0.20636555582344396
85,10.0,1000.0,1.0,-0.4,0.4,0.4002621044083095,0.021251550519604576,-0.0002557158536099533,0.41247313628157084,-0.00010787692523911163,0.16489636664224835,0.28827489639804815,0.19902189882586263
86,10.0,1000.0,1.0,-0.4,0.4,0.4001075747510065,0.020737194454946258,0.10063096789174537,0.4010256786684877,0.04032049483228657,0.16066368352838328,0.3007618708370555,0.20317469704888944
87,10.0,1000.0,1.0,-0.4,0.4,0.40016662480140075,0.02044604629384049,0.211900214035286,0.407495863958849,0.08497554679457639,0.16277078310743648,0.33017325708663353,0.21878474304521778
88,10.0,1000.0,1.0,-0.4,0.4,0.39941379803439847,0.020396740296559017,0.2930894574746492,0.4090345088696291,0.11697135163022938,0.1637422067450967,0.36042287001550016,0.23075542390453618
89,10.0,1000.0,1.0,-0.4,0.4,0.3991564973861192,0.022021113495704805,0.3822746584994683,0.39742214235432133,0.15250975903653188,0.1586295233550187,0.4023238726106498,0.23475157881933173
90,10.0,1000.0,1.0,-0.3,0.4,0.3997624531365859,0.020934443717407606,-0.408654400112723,0.4051196753065666,-0.1633975652157541,0.1628830972346732,0.4108770000940826,0.23193780064320468
91,10.0,1000.0,1.0,-0.3,0.4,0.3992559724941971,0.020233486169785042,-0.29473045581944024,0.4230079614338469,-0.11781857587051173,0.16945670597317766,0.3628710928339019,0.22523048693633008
92,10.0,1000.0,1.0,-0.3,0.4,0.39985732524143,0.02043852372564099,-0.19786258278742735,0.41263619429680154,-0.07915013865946793,0.16527388633775048,0.32480774995576817,0.21679347098596535
93,10.0,1000.0,1.0,-0.3,0.4,0.3997115090599012,0.01927488114835933,-0.1159190746978352,0.39480307092339845,-0.04648963094895644,0.15788851749998678,0.29099945757714973,0.19905488053601972
94,10.0,1000.0,1.0,-0.3,0.4,0.39942357891884595,0.02036371374143297,-0.012152952471270021,0.4210903529021419,-0.004661734622697086,0.16835337607754808,0.29744503978297837,0.20418516169552967
